username,screen_name,created_at,retweets,likes,cleaned_text,sentiment
ariete୨ৎ 🔻,acenamiasa,Thu Jan 30 13:43:30 +0000 2025,0,0,visa us susah banget kah weary face loudly crying face gen ask buttt norway im coming babyyy norway kaburajadulu,positive
A,Anggraeniknr,Thu Jan 30 13:08:01 +0000 2025,0,0,wow saatnya kaburajadulu 2025,positive
ran 📌 AU,cenayangwonpil,Thu Jan 30 13:03:50 +0000 2025,0,3,first time ke sg jam2 pertama gue disini bikin mikir orang2 pada hidup makmur kotanya futuristik walkable city transportasi banyak opsi udara bagus wisata ada umr 22x lipat indonesia definitely worth buat kaburajadulu weary face,positive
Saefulloh | 神之劍,Saefullloh,Thu Jan 30 13:03:48 +0000 2025,2,33,kaburajadulu ada lagi nih turkey yuk dicoba,neutral
laam,lamalammmm,Thu Jan 30 13:03:14 +0000 2025,0,0,wah menarik kaburajadulu,positive
Saefulloh | 神之劍,Saefullloh,Thu Jan 30 12:57:42 +0000 2025,8,30,kaburajadulu ada lagi nih react native engineer buat indonesian di malaysia kuy,neutral
hasssh,readyonboard,Thu Jan 30 12:55:03 +0000 2025,0,0,kaburajadulu oil n gas dong mas,positive
Prima プリマ 🦉,primawansatrio,Thu Jan 30 12:54:04 +0000 2025,104,489,loker kaburajadulu ke japan untuk techbrostechsis rocket platform engineer developer experience requirement singkat di bawah ini 1 punya pengalaman di devex diutamakan 2 punya pengalaman di rusttypescript 3 pengalaman minimal 57 tahun dalam membangun produk 4 bisa,neutral
abisha (0/180),abishamoon,Thu Jan 30 12:31:48 +0000 2025,0,0,udah mulai hopeless mau kaburajadulu loudly crying face loudly crying face loudly crying face kayaknya lebih banyak dan mudah opportunitynya buat engineer,positive
shina,nawrika,Thu Jan 30 12:14:33 +0000 2025,0,0,malaysia sebenarnya yes banyak yg nyaranin buat kaburajadulu ke malaysia karena paling deket gampang serumpun mayoritas muslim nah tapi di thread negara malay ada di urutan 10 tapi tetep bisa pertimbangan,neutral
👨‍🦯👨‍🦯,snagkakala,Thu Jan 30 12:13:25 +0000 2025,0,2,the replies anjir mending lo semua kaburajadulu,positive
bean🧸🎀,yurhiku,Thu Jan 30 12:08:53 +0000 2025,0,0,waw makasih yuk kita usahakan kaburajadulu itu,negative
Reina Psycho,murai_reina,Thu Jan 30 12:02:56 +0000 2025,0,0,awkwkwk kaburajadulu ngapain madesu awkwkwk,positive
・最後の王・,khoekcuih,Thu Jan 30 11:26:21 +0000 2025,0,0,ayo ke jepang kaburajadulu,positive
Prana Adisapoetra 🇮🇩,Pranadsptr,Thu Jan 30 11:06:02 +0000 2025,0,0,finlandia oke tidak ya buat destinasi kaburajadulu,neutral
🌑,y_dnafir,Thu Jan 30 11:05:02 +0000 2025,0,1,high likely kejadian di indonesia emas 2045 karena kaburajadulu generasi indonesia emasnya jadi imgran semua yg cemasnya tinggal di indonesia,positive
👣👣,jeJAKAki,Thu Jan 30 10:44:37 +0000 2025,0,0,well put buat yg perdana kaburajadulu sg emang paling pas,positive
your fluffy gurl˚˖𓍢ִ໋🦢˚,annisajlsr,Thu Jan 30 10:40:47 +0000 2025,0,0,penyakit pengen kaburajadulu udah mulai kambuh lagi inii,positive
김태형 와이프,belumsaatnya,Thu Jan 30 09:39:49 +0000 2025,11,214,mungkin mereka ngikutin trend warga twitter kaburajadulu,positive
Chausseestr.,Chausseest,Thu Jan 30 09:34:45 +0000 2025,3427,16557,gw bikin subjektif rating untuk kaburajadulu ke beberapa kotanegara terutama untuk tech companies tentu sangat subjektif berdasarkan pengalaman gw dan ini hasilnya visa chance itu lebih ke kemungkinan kita bisa kerja dengan legal di sana perusahaan mau repot2 ngurus visa,positive
princess👸🏼,jodohhmmuuu,Thu Jan 30 09:19:25 +0000 2025,1,1,mari kita usahakan kaburajadulu ke china handshake light skin tone handshake light skin tone,positive
Chiin,Chiin1194868,Thu Jan 30 09:12:09 +0000 2025,0,0,kalau ngikutin peta ini sih seharusnya sangat bisa mendukung kaburajadulu yaaaa tapi sayang banget pendidikan jadi sektor prioritas pendukung aja hehehe,neutral
Frida,rendangkane,Thu Jan 30 08:15:44 +0000 2025,0,2,infokan pekerjaan yang bisa kaburajadulu di bidang interior archviz architectural research mafreeen folded hands serius,neutral
𝑏𝑒𝑙𝑜𝑣𝑒𝑑 𝓫𝓲𝓭𝓾𝓵𝓰𝓲 🕊️.爱.🎀,neomu0_0lonely,Thu Jan 30 07:43:23 +0000 2025,0,0,giliran gw niat mau benerin cv dan porto buat upaya kaburajadulu idih website porto nya down gabisa2 di edit padahal gw ngumpulin niatnya udh lama ini ya allah ada2 aja emg idup,positive
Mas Zone,ZoneVenomWar,Thu Jan 30 07:28:56 +0000 2025,1,0,oalah pada mau pindah ke spore salah satunya karena malas mandi yah sama sih kalah lagi hari libur gitu juga gw paling mandi pas sore doang dari pagi rebahan di kamar apalagi kalau hujan mager yuk kaburajadulu ke spore,positive
Adith W. Pradipta 🇵🇸,adith_wp,Thu Jan 30 07:22:40 +0000 2025,0,0,kaburajadulu tapi masih 12 kaburnya eh,neutral
Saefulloh | 神之劍,Saefullloh,Thu Jan 30 07:22:13 +0000 2025,0,1,kaburajadulu nih remote from company di jepang stay tuned di abang satu ini,neutral
warga sipil,apriIlman,Thu Jan 30 07:20:36 +0000 2025,0,0,kaburajadulu ke kamboja boleh ga cape disini nyari kerja susah,positive
Jamaah Guz Pixmen,goonerals,Thu Jan 30 06:13:03 +0000 2025,0,0,mengajak adek gw untuk kaburajadulu,positive
q,mur1997qi,Thu Jan 30 03:32:45 +0000 2025,0,0,tapi karena kita2 ini telah terdidik untuk hidup secara individualis dan menerapkan american way of life daripada memperjuangkan kolektivisme di negara ini mending cari jalan keluar yg lebih praktis dan realistis seperti kaburajadulu,positive
ᮐᮊᮤ。ハヤザキ。🍉。🇵🇸,hayazakitwt,Thu Jan 30 03:10:55 +0000 2025,0,5,menjanjikan klw bukan di indo kaburajadulu,positive
海卡尔,hyvaikal,Thu Jan 30 02:39:06 +0000 2025,0,1,mau kaburajadulu tapi nyesek ga bisa keadaan maksa kayak gini its better to hold up la,positive
Toko Buku Korea,danggeunbooks,Thu Jan 30 02:34:54 +0000 2025,0,5,mau kaburajadulu ke korea tapi masih bingung sama bahasa amp budayanya tenang ada buku korean language and korean culture kiip yang bakal bantu kamu adaptasi dengan mudah materinya lengkap buat imigran dari pekerja pelajar sampai keluarga multikultural south korea,neutral
Weekend Wanderer,weekwand,Thu Jan 30 02:00:08 +0000 2025,0,0,yowes kaburajadulu biar kodeposnya ganti sekalian,positive
gearcloudy,gearcloudy,Thu Jan 30 01:24:23 +0000 2025,0,3,kali yang pada mau kaburajadulu buat lulusan non ipa umur kurang dari 20 tahun belon nikah demi gue baca alur applynya ini lebih mudah dan costnya murah daei scholarship laen,positive
Wahyu Subarkah,wa_subarkah,Wed Jan 29 23:38:48 +0000 2025,0,0,makin kuat keinginan gue untuk kaburajadulu,positive
mala,0310zip,Wed Jan 29 22:43:25 +0000 2025,0,0,makin yakin buat mencoba kaburajadulu,positive
F,polisiolahraga,Wed Jan 29 17:55:37 +0000 2025,0,1,pelan2 kaburajadulu dari ihsg,positive
Syip🍀,nonusyi,Wed Jan 29 16:50:32 +0000 2025,0,0,infokan kaburajadulu enaknya kmn,neutral
Alfi Aisyah,alfiahaysi,Wed Jan 29 16:33:10 +0000 2025,0,0,apakah saya harus ikutan kaburajadulu,positive
yoy 矢瀬,yoy_real,Wed Jan 29 16:19:19 +0000 2025,0,0,motivasi buat kaburajadulu,positive
Wheeinda,HariIniWinda,Wed Jan 29 15:56:41 +0000 2025,0,0,apakah bisa kaburajadulu ke sana yaa,neutral
ᮐᮊᮤ。ハヤザキ。🍉。🇵🇸,hayazakitwt,Wed Jan 29 13:55:53 +0000 2025,0,1,sama tinggi badan di my bisa kerja formal mudah di sini susah bner kaburajadulu,positive
bramnewday,brambramnewday,Wed Jan 29 13:28:15 +0000 2025,0,0,berniat kaburajadulu starting the end of this year semoga bisa ketabung uang pensiun itu dan pensiun dini sebelum 40 tahun mari kita usahakan quit dari programming dan hidup dari deviden saham itu folded hands mediumlight skin tone,positive
Moon | Seasalt,aversanre,Wed Jan 29 12:02:20 +0000 2025,0,1,moga lancar mas proses kaburajadulu nya semoga tidak trauma melihat muka ffff secara kasat mata irl,positive
Dian 🎀,petitestardust,Wed Jan 29 10:35:31 +0000 2025,0,0,nangis karena bisa relate loudly crying face aku dulu pernah mutusin pacar pas s1 karena dia ga bolehin aku kuliah di ln malah mau diajak nikah face with tears of joy face with tears of joy face with tears of joy sungguh bukan jiwa kaburajadulu,positive
el,ayangwendy,Wed Jan 29 10:32:23 +0000 2025,0,0,ngikut kaburajadulu,positive
Yoyo⸙,dara54n,Wed Jan 29 09:35:21 +0000 2025,0,0,gimana n di mana sih cari opportunity buat kaburajadulu harus ada kenalan kah atau emg ada lembaga yg sering nyediain khususnya buat kerja office di bidang tech,neutral
ensul,mufidmommy,Wed Jan 29 09:12:30 +0000 2025,0,0,bikin lpk mas kok mau kaburajadulu ngajak masyarakat banyak berarti,positive
プンディンギン・ウダラ 🍉,pundingin,Wed Jan 29 08:50:36 +0000 2025,50,484,beberapa foto ac saat sowan ke menaker sbg upaya memuluskan masyarakat u kaburajadulu ke yaban banyak ac menarik di kemenaker paling bikin kagum ac national 20pk yg masih dingin sejak 1997 ruangan bapak menteri pakai daikin amp gree biasa tdk difoto krn ada ffff loudly crying face,positive
Time of Our Page🪶🏄,furiburry,Wed Jan 29 08:20:08 +0000 2025,0,0,kaburajadulu baru tau ada hastag ini buat loker,neutral
Phiia - bkan scammer tp hbis deact jd folls hilang,ini_phii,Wed Jan 29 07:15:49 +0000 2025,0,0,pengen kaburajadulu as web dev tp lupa kalo aku enggak kuliah smiling face with tear mostly requirementnya harus punya gelar grinning face with big eyes,positive
common rules 🍉,mmaakff,Wed Jan 29 06:22:18 +0000 2025,0,0,saatnya memprioritaskan mantengin kaburajadulu,positive
Nuci 🦊,RUBAHLI4R,Wed Jan 29 05:51:58 +0000 2025,0,1,damn memasuki waktu bagian mantengin kaburajadulu,positive
hilmeeng👾| Game Dev Era,hilmeeng,Wed Jan 29 05:25:11 +0000 2025,0,0,semoga bisa secepatnya kaburajadulu,positive
littlesstar,FunnySlimeco1,Wed Jan 29 04:49:53 +0000 2025,0,2,ini isi chatan aku sama yng nanyain aku itu walaupun ga seberapa siii tapi lumayan aja gtu klo dilepasin gt aja bantu viralin dong guys kaburajadulu,positive
Saefulloh | 神之劍,Saefullloh,Wed Jan 29 04:34:44 +0000 2025,62,933,check di kaburajadulu kak kemaren aku nge forward beberapa opportunity,neutral
𝐌𝐫. 𝐉𝐮𝐧𝐠,Retarol07,Wed Jan 29 04:20:55 +0000 2025,2,28,ayo guys yang mau kaburajadulu kita coba yuk,neutral
一三一两 𝕏 🫁 🎮,dokterparu,Wed Jan 29 01:36:24 +0000 2025,5,14,indon gak perlu riset perlunya perut kenyang kaburajadulu,positive
Mas Zone,ZoneVenomWar,Wed Jan 29 00:39:08 +0000 2025,2,1,yuk kaburajadulu ke qatar lewat kuliah s2,neutral
ANDITOSHIRO,anditoshiro,Wed Jan 29 00:38:53 +0000 2025,0,2,sejak bbrp waktu lalu jargon kaburajadulu dikumandangkan saya senang sekaligus khawatir khawatirnya krn takut banyak yg mengira mau pindah ke ln itu semudah membeli tiket dan berangkat padahal visavisa kerja ya bkn turis yg terpenting dan mendapatkannya tdk mudahmurah,positive
gyupin,gyusgrip,Tue Jan 28 15:33:18 +0000 2025,0,0,selangkah lebihbdekat menuju kaburajadulu,positive
Putri,putzaaahr,Tue Jan 28 13:57:08 +0000 2025,0,1,kaburajadulu nggak ada seenoevil monkey,positive
mym,myusufmusa,Tue Jan 28 12:21:52 +0000 2025,0,2,please warga ini china udah bikin ai versi murah indonesia masih ribut soal pagar laut makan siang gratis mending kaburajadulu,positive
"miao, handle with love",jaemogu,Tue Jan 28 11:34:49 +0000 2025,0,0,mbakku ngasih duolingo premium amp buku bahasa jerman dia wow ini kah bentuk dukungan kakak dalam menggapai mimpi kaburajadulu,negative
RayBorn,born77874,Tue Jan 28 10:06:18 +0000 2025,0,0,9 bullseye punya rencana besar ke luar negeri jangan biarkan bahasa jadi penghalangmu dapatkan timekettle fluentalk t1 sekarang di sini buka peluang baru tanpa batas bahasa rocket kaburajadulu,neutral
Vianney,notwidodo,Tue Jan 28 10:02:29 +0000 2025,0,0,biar bisa kaburajadulu,positive
Karima A,karimakayyim,Tue Jan 28 07:03:06 +0000 2025,0,1,mending ikut kaburajadulu ke koriyah deh bang jgn balik pls,positive
Naf'an Chaerul A.,NafanESL,Tue Jan 28 06:30:55 +0000 2025,0,0,wajarlah ada tagar kaburajadulu tiap hari liat berita ngga ada yang bener bahkan sekelas seword aja udah ngga ngebela kecuali sampean tontonannya coro tv,positive
Strlaa,Strlaa399059,Tue Jan 28 05:52:56 +0000 2025,0,0,hii guys yang lagi mau kaburajadulu or maybe sudah terbebaskan dari negara ini aku izin nanya dong kalo semisal ada job opportunities atau scholarship gitu dari luar apakah biasanya bisa dibantu ngurus visa dan perpindahan lainnya,neutral
Saefulloh | 神之劍,Saefullloh,Tue Jan 28 05:40:34 +0000 2025,31,162,kaburajadulu lagi nih di kuala lumpur buat experienced customer service yuk dicoba daftar siapa tau rejekinya,neutral
immoral cat,kucinghitamfake,Tue Jan 28 05:24:44 +0000 2025,0,4,saatnya melirik tagar kaburajadulu gak cocok professional bekerja di indo,positive
ᮐᮊᮤ。ハヤザキ。🍉。🇵🇸,hayazakitwt,Tue Jan 28 04:22:43 +0000 2025,0,1,emg korup dr bawah ampe atas makanya yuk kaburajadulu,positive
hime debt free 2026🎀,cruelestred,Tue Jan 28 04:12:35 +0000 2025,0,0,yasmin ikutan kaburajadulu aja,positive
Liya,lyawaluyo,Tue Jan 28 03:14:34 +0000 2025,0,1,2 orang partner kerja resign karena berhasil kaburajadulu ya allah tolong tahun ini gantian nyusul yaa lalu kemudian menjadi ibu2 diaspora cabang yurop yg informatif dan tidak menyebalkan di sosmed smiling face with halo,negative
Mas Zone,ZoneVenomWar,Tue Jan 28 03:07:04 +0000 2025,2,2,yuk kaburajadulu ke jepang,neutral
q,mur1997qi,Tue Jan 28 02:31:30 +0000 2025,3,7,awardee lpdp luar negeri lho yha kami ini dah capek2 kuliah kemudian harus pulang hanya untuk disia2kan pemerentah mending di sini hidup terjamin segala macem biarlah bu neneng2 itu berjuang sendirian kalo ga kuat ya tinggal kaburajadulu,positive
•,abaaaeee_,Mon Jan 27 20:40:44 +0000 2025,0,0,bismillah kaburajadulu,positive
Riza,RizaRidho,Mon Jan 27 17:07:52 +0000 2025,0,0,di sini diramaikan dengan kaburajadulu di irlandia kampanyenya,positive
apip ☆,childposz,Mon Jan 27 15:55:48 +0000 2025,0,0,kaburajadulu ikut komun kabur aja dl shev,positive
Adith W. Pradipta 🇵🇸,adith_wp,Mon Jan 27 15:11:03 +0000 2025,0,3,sepertinya saya udah satu langkah berhasil mewujudkan lingkungan tumbuh kembang yang baik buat anak saya dengan kaburajadulu grinning face,negative
Rafly🍉,raflyfdhly,Mon Jan 27 15:09:14 +0000 2025,0,0,mari diaamiinkan terlebih dahulu kaburajadulu,positive
prince 🐼,zkrnk,Mon Jan 27 15:06:20 +0000 2025,0,0,tapi kita s2 dulu siapa tau bisa pindah dari indo hahahahah kaburajadulu thumbs up,negative
Hadafi,hadafir,Mon Jan 27 11:25:29 +0000 2025,0,0,kalo gajinya dah dolar mah sepele van kan kaburajadulu,positive
und ajalah #AllEyesonPapua #IngatAfifMaulana,und_cuckoosnest,Mon Jan 27 09:13:28 +0000 2025,0,0,tanpa konteks zionis penjajahan yadda3x pun gue agak kasian kalo mereka ngungsi ke sini bayangin di sini aja lagi mayan rame kaburajadulu udah dapet trauma di sana ntar dapet trauma baru lagi di sini mana plecidennya kek gini lagi,positive
黄国儿 panggil Bangga 🍉,banggavann,Mon Jan 27 08:50:28 +0000 2025,0,0,makanya fandy udah kaburajadulu mbak rin keburu runyam di mari grinning face with sweat,positive
Sternengesang,Cordicor,Mon Jan 27 06:59:36 +0000 2025,0,1,kaburajadulu versi loker seram,positive
Johnkecops,johnkecops,Mon Jan 27 06:49:38 +0000 2025,2,0,ayo kaburajadulu biar bisa bikin seperti ini backhand index pointing down,neutral
far,fargranth,Mon Jan 27 06:37:18 +0000 2025,0,0,diriku juga ingin kaburajadulu,positive
Deanda_adio,deanda_andi,Mon Jan 27 05:47:50 +0000 2025,0,1,warga myanmar saatnya kaburajadulu,positive
Friday,octoVN,Mon Jan 27 05:40:25 +0000 2025,0,0,wah masuk semua terutama soal kaburajadulu wkwk,positive
hiatus,wfhyuk,Mon Jan 27 05:34:41 +0000 2025,0,0,kerja full remote bisa kaburajadulu shalat 5 waktu rajin menabung bukan techbro tapi adekku yg otw techbro partying face,negative
Mas Agung Sedayu,gungsed,Mon Jan 27 05:27:49 +0000 2025,0,1,yah aku bkn techbro tp aku udah kaburajadulu,neutral
୨ৎ,khaliesie,Mon Jan 27 03:41:39 +0000 2025,0,15,mau sama kakakku ga yah kakanya my brother 33 techbros dan juga pengen kaburajadulu gak ngerokok non 02 voters dan check list hal lainnya juga paling minusnya ga se into itu sama olahraga tapi suka jalan kaki dan introvert intp type of guy,positive
D👨🏻‍💻,_sgdx,Mon Jan 27 02:38:11 +0000 2025,0,7,sayangnya gak bisa diajak kaburajadulu pensive face yg lainnya bisa disesuaikan,positive
一三一两 𝕏 🫁 🎮,dokterparu,Mon Jan 27 02:28:57 +0000 2025,11,32,kaburajadulu tingkatkan skill yang berhubungan dgn personal branding bahasa dan soft skill lainnya sebisa mungkin ambil acknowledgement yang ada sertifikat dan atau ijasahnya quick money memang menggoda usahakan skill amp pendidikan jd investasi jangka panjang berserikat,negative
MahaMesti,Agung_jaya58,Mon Jan 27 02:04:59 +0000 2025,0,2,goodwill saja tidak cukup kiddo needs to strengthen your will of live kondisi aman bukan berarti kita lengah kaburajadulu,negative
MahaMesti,Agung_jaya58,Mon Jan 27 01:42:29 +0000 2025,1,1,berangkatlah kalian kejar ilmu setinggi tingginya bukan ganti stt wn pertimbangkan soal tuition fee dari sekarang beasiswa 50 bisa diperjuangkan tambah modal untuk perlindungan diri eu sedang hangat jaga diri baikbaik lawan kaburajadulu,negative
Riza,RizaRidho,Mon Jan 27 01:10:41 +0000 2025,0,1,santri jawa tentu ga lazim lihat orang sholat dalam pesawat spt ini orang2 yg kaburajadulu ke barat ini kayaknya ga ngaji kitab2 yang dibaca santri jawa,positive
The SEA Dude 🇵🇸,moscow_hahaha,Sun Jan 26 21:18:47 +0000 2025,0,1,tapi trend kaburajadulu itu sangat dinormalisasikan hidup serba irit kerja kasar dinegara orang bahkan warga disana juga banyak yang hidup paycheck to paycheck kalau punya bisnis yang udh oke hidup di sea malaythaiid itu tempat yang udh paling enak,positive
freac,arddhe,Sun Jan 26 14:43:25 +0000 2025,0,3,padahal waktu itu sama sekali ga kepikiran buat kaburajadulu benar2 berencana balik buat ngembangin bisnis kontraktor gw punya banyak rencana di dunia konstruksi indonesia dan ngimpi2 lainnya tapi ya mimpi tinggal mimpi skrg mimpi gw malah pengen kaburajadulu,positive
lonerider,fauzanfm,Sun Jan 26 13:57:45 +0000 2025,0,0,wii makin banyak yang pakai hashtag kaburajadulu,positive
A. Zaky,zakyarin97,Sun Jan 26 13:54:28 +0000 2025,3,9,kenapa kaget tetangga kita saja yang idaman netizen x kaburajadulu bikin uu wajibkan semua perusahaan medsos memiliki izin komdigi setempat untuk beroperasi dan pemerintah yang bikin aturan ini adalah yang zaman oposisi dulu selalu turun demo membela kebebasan berpendapat,positive
lat,lamaciato,Sun Jan 26 13:51:53 +0000 2025,0,1,fomo bgt pls mau ikutan pake tagar kaburajadulu smiling face with tear,positive
ANDITOSHIRO,anditoshiro,Sun Jan 26 12:33:20 +0000 2025,0,1,nice info pak setidaknya yg bapak bagikan ini membuka mata sebagian org indonesia bahwa kaburajadulu kdg butuh modal yg tdk sedikit,neutral
ANDITOSHIRO,anditoshiro,Sun Jan 26 12:24:19 +0000 2025,0,3,miris melihat beberapa quote dgn pandangan negatif terhadap tweet informatif ini ini sekadar info kaburajadulu via studi namun sebagian org menganggap ini tdk berguna karena butuh modal yg besar sepertinya baru pada sadar kalau kaburajadulu tdk semudah memasak mie instan,positive
ANDITOSHIRO,anditoshiro,Sun Jan 26 12:15:44 +0000 2025,0,0,bro kalau ada info yg tdk cocok dgn kebutuhan anda bkn berarti anda bisa menginvalidasinya sbg info tdk berguna kaburajadulu banyak jalurnya tapi semua pasti butuh modal kalau ada jalur yg modalnya dirasa terlalu besar cukup cari jalur lain,neutral
Indiv ✨,leyxmun,Sun Jan 26 11:43:35 +0000 2025,0,1,buat yg sudah putus asa cari kerja di negeri kaya sda tapi miskin sdm ini coba cek kaburajadulu ada twit pengalaman orang yg kerja di ln dan loker juga semoga membantu sparkles,neutral
better call apip,muhaaafif,Sun Jan 26 11:10:45 +0000 2025,0,0,kalo gue jadi presiden gue miris banget sih kalo gerakan kaburajadulu ini makin rame i mean bagus sih banyak orang2 yg pengen cari peruntungan di luar tapi ini alasannya karna negeri ini udah carut marut banget wkwkw,positive
dasamuka,alengkaaa,Sun Jan 26 10:46:49 +0000 2025,0,0,semakin yakin untuk kaburajadulu,positive
Predator-Prey Equation🍉,zaa_alli,Sun Jan 26 10:10:19 +0000 2025,0,0,info kaburajadulu jalur studi dong,neutral
FPL Si Elang Hitam 🇮🇩,FPL_sieltam,Sun Jan 26 08:43:51 +0000 2025,0,2,jikalau ipk bagus amp punya ielts gt65 cocok mau kaburajadulu nanti jangan lupa kontribusi balik ke indonesia kapan sesuai panggilan hati kelebihannya nonton epl serie a la liga ucl ga perlu begadang kelemahan nonton ufc dan boxing wajib begadang feel free to discuss,neutral
🎠po🌟,poo_sheng,Sun Jan 26 06:06:17 +0000 2025,0,0,buat modal kaburajadulu,positive
🔑,kethcaw,Sun Jan 26 05:54:44 +0000 2025,0,0,pgn kaburajadulu tp kmn y,positive
q,mur1997qi,Sun Jan 26 05:40:46 +0000 2025,0,0,tapi di pikir2 warga palestina ini setelah gencatan senjata kok seakan gaada yang kepikiran untuk kaburajadulu ya misal ke uni emirat arab yg megah dan serba maju menikmati hidup yg lebih serba pasti di sana dan baru pulang ke palestina kalo udah bener2 merdeka,positive
beetz,tsaambat,Sun Jan 26 05:35:38 +0000 2025,0,0,bismillahirrahmanirrahim it is either fttm itb or kaburajadulu aamiin palms up together light skin tone,negative
Dwi,dwipuspasetya,Sun Jan 26 04:55:24 +0000 2025,0,0,pengen kaburajadulu tapi otaknya belum nyampe loudly crying face,positive
q,mur1997qi,Sun Jan 26 04:47:44 +0000 2025,0,0,ini ibarat indonesia merdeka 1945 kemudian ada agresi militer belanda dan gaada negara lain yg mau bantu mesir yg mengakui kemerdekaan indonesia kemudian diminta untuk menerima pengungsi dari indonesia ini adalah bentuk kaburajadulu versi agamis dan moralis,positive
Didik,didikz,Sun Jan 26 04:03:21 +0000 2025,0,8,tidak long weekend karena liburnya ikut penanggalan singapore apakah ini pertanda disuruh latihan kaburajadulu,positive
Amin Nurdinᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,AminNdn,Sun Jan 26 04:02:21 +0000 2025,0,0,7 tahun naek 2 juta gelo tah bororaah 2 digit kudu milu kaburajadulu,positive
Karina Kusumawardani,KKusumawardani,Sun Jan 26 03:57:59 +0000 2025,0,0,rakyatnya kaburajadulu aiesennya,positive
Mas Zone,ZoneVenomWar,Sun Jan 26 03:44:13 +0000 2025,2,1,tetap gw dukung buat kaburajadulu ke us,positive
MahaMesti,Agung_jaya58,Sun Jan 26 02:55:19 +0000 2025,0,2,disaat semua keahlian dan skill profesional di negara first world jadi rendah atau turun karena ai narasi kaburajadulu akan segera menjadi sudah waktunya kita meributkan uang gratis untuk semua ubi,positive
MahaMesti,Agung_jaya58,Sun Jan 26 01:33:52 +0000 2025,0,0,least racist fcxk malongdesh semoga para propagandist pindah status wn kaburajadulu punya keberanian buat nabok muka orang orang seperti ini di host country kalian nanti,positive
Yogi Natasukma™,SoundOfYogi,Sun Jan 26 00:51:44 +0000 2025,1,7,gue setuju makanya gak pernah suka hestek kaburajadulu elu2 punya privillige untuk kabur aja dulu mbak2 penjual nasi uduk mas satpam bank ob gedung2 mall tukang tambel ban mereka merasakan hancurnya negri ini tanpa ada pilihan untuk kabur,positive
